action,count,balanced_count
A,13,13
B,30,13
C,30,13
D,30,13
E,30,13
F,30,13
G,30,13
H,30,13
I,30,13
K,30,13
L,30,13
M,30,13
N,30,13
O,30,13
P,30,13
Q,30,13
R,30,13
S,30,13
T,30,13
U,30,13
V,30,13
W,30,13
X,30,13
Y,30,13
Z,30,13
